Nr;Art;Mag;KBN;Nazwa art. 1;Nr fabr;Nazwa art. 2;L/B;StanDost;Wart;OstRez;Dz;Dost;NrProc;Suf;Poz;TOK;CDS;MA Erf.;
883;5;130;VAIKKRPF82;RURA DO SYSTEMU FASADOWEGO 80/125MM 1.0M;0020042754;STAL/PP;B;2.000;;1150821;G;VAWA01;14129049;1;6000;STC;SCC;03748;
884;5;130;VAIKKKL;KOŁNIERZ USZCZELNIAJĄCY DO PRZEPUSTÓW DA;0020042760;CHOWYCH (SYSTEM FASADOWY);B;1.000;;1150821;G;VAWA01;14129049;1;7000;STC;SCC;03748;
885;5;130;VAIKKUC;UCHWYT ŚCIENNY 50-90MM;0020042751;STAL NIERDZEWNA;B;1.000;;1150821;G;VAWA01;14129049;1;8000;STC;SCC;03748;
886;5;130;FIDO0689500;GRZEJNIK COSMOTREND FIDO  689x500 292W;WGFID068050K916SX;ŁAZIENKOWY BIAŁY;B;10.000;;1170116;G;TEGD01;14280063;1;17000;STE;SCE;03675;
887;5;130;SETDRDSWCR;!!! SET WC DURASTYLE RIMLESS 54 + DESKA;45510900A1;WOLNOOPADAJĄCA BIAŁA (BEZ RANTU);B;1.000;;1170109;S;DUHO01;14276474;1;1000;STF;SCF;03332;
888;5;130;2NDFUS58BOS;UMYWALKA 2ND FLOOR 58x41.5 STAWIANA B/O;0317580000;B/P SZLIFOWANA BIAŁA;B;1.000;;1170109;S;DUHO01;14276474;1;3000;STF;SCF;03332;
889;5;130;SETDRDSWCR;!!! SET WC DURASTYLE RIMLESS 54 + DESKA;45510900A1;WOLNOOPADAJĄCA BIAŁA (BEZ RANTU);B;1.000;;1170109;S;DUHO01;14276474;1;15000;STF;SCF;03332;
890;5;130;DURASUS60;UMYWALKA DURASTYLE 60x38 STAWIANA B/O;0349600000;B/P BIAŁA;B;1.000;;1170109;S;DUHO01;14276474;1;29000;STF;SCF;03332;
891;5;130;SETDRDSWCR;!!! SET WC DURASTYLE RIMLESS 54 + DESKA;45510900A1;WOLNOOPADAJĄCA BIAŁA (BEZ RANTU);B;1.000;;1170109;S;DUHO01;14276474;1;34000;STF;SCF;03332;
892;5;130;MYDAYBW;BIDET WISZĄCY MYDAY Z/O B/P BIAŁY;235450000;;B;1.000;;1170113;S;GEWA01;14279089;1;3000;STA;STA;03680;
893;5;130;MYDAYUM80;UMYWALKA MYDAY 80x48 Z/O B/P BIAŁA;125480000;;B;1.000;;1170113;S;GEWA01;14279089;1;5000;STA;STA;03680;
894;5;130;MYDAYWP170;WANNA PROSTOKĄTNA MYDAY 170x75;650570000;BIAŁA ODPŁYW NA ŚRODKU;B;1.000;;1170113;S;GEWA01;14279089;1;7000;STA;STA;03680;
895;5;130;MYDAYWPO;ODPŁYW Z PRZELEWEM DO WANIEN MYDAY;590600000;Z OBRACANĄ CHROMOWANĄ ROZETĄ;B;1.000;;1170113;S;GEWA01;14279089;1;8000;STA;STA;03680;
896;5;130;#KEAK;NOGI DO WANNY MY DAY;653002;CENNIK KD 01.04.2014 (ważny też na 2016);;1.000;;1170113;S;GEWA01;14279089;1;9000;STA;STA;03680;
897;5;130;SPKK45160;KOLANO SPALINOWE SPAWANE SPUK 45° 160;309160000;WADEX;B;8.000;;1130813;G;WAWR01;12577072;1;1000;STE;SCE;03513;
898;5;130;#PLSA;ZŁĄCZKA SIROPLAST K DN100;PLSA;UWAGA-KALK.OD C.ZAKUPU WPISZ KOD;;20.000;;1150402;Z;PLWR01;14094068;1;1000;SH2;SHA;03630;
899;5;130;NBEPPVE30;PODGRZEWACZ ELEKTRYCZNY 30L VIKING;10685;VIKING E30 POJEMNOŚCIOWY;B;1.000;;1151015;S;NIBI01;14144595;1;1000;STE;SCE;03678;
900;5;130;#IKA;GRUPA POMPOWA GPS Z REGULATOREM;IKAGRUPA;UWAGA-KALK.OD C.ZAKUPU;;1.000;;1161206;G;SURA01;14269835;1;1000;TMP;TMP;03752;
901;5;130;ESSENBWSTP;BATERIA WANNOWA ESSENCE NEW STOJĄCA  DO;23491001;MONTAŻU W PODŁODZE CHROM DO 45984000;B;1.000;;1170111;S;GRHE01;14276474;1;18000;STF;SCF;03332;
902;5;130;DIKEACN6;KURTYNA POWIETRZNA AC 6N 3/6 KW;AC6N;ELEKTRYCZNA 230V;B;1.000;;1140313;K;DIPO01;13618538;1;1000;SXC;SCC;03748;
903;5;130;#ZKCE2;EMANI DESKA WC 57580000;;CENNIK KOLO/KERAMAG 01.04.2016;;1.000;;1140407;S;SKKO02;14000400;1;1000;SXC;SCC;03748;
904;5;130;VENTUM801R1;! UMYWALKA VENTICELLO 80x50 MEBLOWA Z/O;41048LR1;Z/P BIAŁA CERAMICPLUS;B;1.000;;1161229;S;VBME01;14177685;1;52000;STF;SCF;03679;
905;5;130;AQAZNUN;UCHWYT NATRYSKU ŚCIENNY A-QA;655510500;CHROM;B;2.000;;1160316;S;KLOP01;14183378;1;10000;STC;SCC;03648;
906;5;130;HOMMAGEPP1R1;PÓŁPOSTUMENT DO UMYWALKI HOMMAGE BIAŁY;723300R1;C.PL.;B;1.000;;1160509;S;VBME01;14185008;1;6000;SXB;SCB;03648;
907;5;130;RFZGZ3232;ZŁĄCZKA ZACISKANA GZ 32x11/4";06011233;MOSIĄDZ TWEETOP;B;2.000;;1160504;I;TWSZ01;14200810;1;6000;STC;SCC;03510;
908;5;130;#TRES1;ZESTAW WANNOWY Z PRZYŁĄCZEM PODŁOGOWYM;14219402;SŁUCH. NA OBROT. CHROM;;1.000;;1160525;S;TRLD01;14207291;1;2000;STC;SCC;03510;
909;5;130;#TRES1;BATERIA WANNOWA CHROM SŁUCH. ANTICAL;132176;WĄŻ W PODWÓJNYM OPLOCIE;;1.000;;1160525;S;TRLD01;14207291;1;3000;STC;SCC;03510;
910;5;130;#FLO00;RURA SPALINY/POWIETRZE PROSTA 1M FI80MM;13168;UWAGA-KALK.OD C.ZAKUPU;;2.000;;1161010;K;FLGD01;14243878;1;24000;STE;SCE;03675;
911;5;130;PZ;PRZEPUSTNICA ZWROTNA PZ DN250;15057;;B;1.000;;1161031;K;FLGD01;14254855;1;3000;STA;SCA;03821;
912;5;130;#FLO00;PRZEPUSTNICA PZ315;15099;UWAGA-KALK.OD C.ZAKUPU;;1.000;;1161031;K;FLGD01;14254855;1;4000;STA;SCA;03821;
913;5;130;KASPD580125;PRZEJŚCIE DACHOWE TURBO 5-25°  80/125;842120000;WADEX;B;1.000;;1170116;G;WAWR01;14273858;1;1000;STD;SCD;03852;
914;5;130;DLRY1200P;RYNNA ODPŁYWOWA PROSTA 1200 MM;601200;.;B;1.000;;1170104;S;TEST01;14276032;1;21000;STF;SCF;03681;
